pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2019,Italy,602,93,0.15448504983388706,0.1278138024378987,0.18553791038517492
2019,Japan,408,71,0.17401960784313725,0.1403184937098716,0.21380189824462076
2019,Netherlands,317,20,0.06309148264984227,0.04120980838362211,0.09543543373016412
2019,South Korea,611,116,0.18985270049099837,0.1607303021471252,0.22285062824922997
2019,Spain,466,61,0.13090128755364808,0.10327159579590495,0.1645665365318747
2019,Switzerland,130,26,0.2,0.1402994885932959,0.27692144812336295
2019,UNKNOWN,31972,3848,0.12035531089703491,0.11683428321776093,0.12396755678187588
2019,United Kingdom,2270,224,0.0986784140969163,0.08707969462808834,0.11163312990411861
2019,United States,5239,760,0.14506585226188204,0.1357897175105239,0.15486211142413583
2020,Australia,738,76,0.10298102981029811,0.08306932266272041,0.12700448349585614
2020,Canada,761,98,0.1287779237844941,0.10683111240123905,0.15445370226980254
2020,China,6154,1973,0.3206044848878778,0.3090590434809336,0.3323737516363898
2020,France,673,114,0.16939078751857356,0.14294653290165715,0.19958783138602537
2020,Germany,1073,126,0.11742777260018639,0.09951622457232445,0.13806885048680223
2020,India,4019,963,0.23961184374222444,0.22666788537768656,0.25305309755819866
2020,Italy,810,117,0.14444444444444443,0.121912503563802,0.17033294085646736
2020,Japan,448,97,0.21651785714285715,0.18087492861140012,0.25698099398822183
2020,Netherlands,448,57,0.12723214285714285,0.09951255018617924,0.16129011968891419
2020,South Korea,831,194,0.23345367027677497,0.20595834156856618,0.2634019838927657
2020,Spain,644,86,0.13354037267080746,0.10942982461968925,0.1619968592186517
2020,Switzerland,210,28,0.13333333333333333,0.09388503442658142,0.1859552694635596
2020,UNKNOWN,39236,4896,0.12478336221837089,0.12155009293564227,0.1280900965921545
2020,United Kingdom,2819,325,0.11528910961333806,0.10401954108551151,0.12760574441452902
2020,United States,6568,1037,0.1578867235079172,0.1492686142205803,0.16690478585921403
2021,Australia,843,119,0.14116251482799524,0.11928280943118488,0.1662977514892511
2021,Canada,922,152,0.1648590021691974,0.1423081402289127,0.19019096735351537
2021,China,7379,2356,0.31928445588833176,0.3087437917607193,0.33001318075782426
2021,France,744,110,0.1478494623655914,0.12415447054418735,0.17516225786196457
2021,Germany,1298,174,0.13405238828967642,0.11659306123448968,0.1536713833618735
2021,India,4629,1152,0.24886584575502269,0.2366224422992903,0.26152571997522084
2021,Italy,982,163,0.1659877800407332,0.14402716284578299,0.1905514409139581
2021,Japan,505,86,0.1702970297029703,0.1400309718032208,0.20554122120996146
2021,Netherlands,435,51,0.11724137931034483,0.09030674714463446,0.15087707150623691
2021,South Korea,849,236,0.2779740871613663,0.24889036709105467,0.30905795249308693
2021,Spain,759,111,0.14624505928853754,0.1228884323305987,0.17316451053099025
2021,Switzerland,210,20,0.09523809523809523,0.06249935288734216,0.14251916439398238
2021,UNKNOWN,41589,5712,0.13734400923321072,0.1340693571146097,0.14068565018958984
2021,United Kingdom,3152,365,0.1157994923857868,0.1050933863939467,0.12744093714425891
2021,United States,7041,1129,0.16034654168441984,0.1519614950270415,0.1691020054139359
2022,Australia,791,115,0.14538558786346398,0.1225346370884769,0.1716642326680713
2022,Canada,915,140,0.15300546448087432,0.13113429459294873,0.17777803853685614
2022,China,10641,3277,0.307959778216333,0.29925897724396977,0.3167991842786364
2022,France,798,117,0.14661654135338345,0.12376790705552815,0.17285115174257726
2022,Germany,1337,188,0.1406133133881825,0.12300788078933203,0.16027800384819615
2022,India,5659,1567,0.2769040466513518,0.2653999077406958,0.2887108653824071
2022,Italy,976,133,0.1362704918032787,0.11616793949118663,0.15922504004804075
2022,Japan,559,110,0.1967799642218247,0.1659398340247888,0.23175911887342676
2022,Netherlands,480,43,0.08958333333333333,0.06718742564714657,0.1184962465203274
2022,South Korea,859,220,0.2561117578579744,0.2280533279068855,0.2863418188299475
2022,Spain,857,136,0.15869311551925322,0.1357601125146003,0.1846722458415852
2022,Switzerland,241,32,0.13278008298755187,0.09564822178858323,0.18143499421355952
2022,UNKNOWN,41574,5615,0.13506037427238177,0.1318086266172775,0.1383795569118471
2022,United Kingdom,3364,410,0.12187871581450654,0.11125283935241471,0.13336718474728743
2022,United States,7365,1214,0.1648336727766463,0.15653514333411986,0.17348165407026958
2023,Australia,928,143,0.1540948275862069,0.1322959942323778,0.17874560632863107
2023,Canada,1027,166,0.16163583252190847,0.1403896350596178,0.18540387658756055
2023,China,12424,3986,0.32083065035415326,0.31267898154674684,0.3290930820290899
2023,France,831,163,0.19614921780986763,0.17057547405997672,0.22451925361039035
2023,Germany,1539,182,0.11825860948667966,0.10306815545755771,0.13535002854811587
2023,India,6228,1751,0.28114964675658316,0.2701220988261637,0.2924470040605029
2023,Italy,1241,199,0.16035455278001612,0.14099219287938466,0.18181313785034567
2023,Japan,576,133,0.2309027777777778,0.19833889374581573,0.2670322085025626
2023,Netherlands,565,63,0.11150442477876106,0.08812945764339497,0.14012651211288427
2023,South Korea,899,234,0.26028921023359286,0.23266888403356079,0.2899494053801984
2023,Spain,993,155,0.15609264853977844,0.1348483495608639,0.1799875313544242
2023,Switzerland,252,36,0.14285714285714285,0.10500705695999608,0.19143222684602473
2023,UNKNOWN,49043,6399,0.1304773362151581,0.12752521590590457,0.13348734021494188
2023,United Kingdom,3759,486,0.12928970470869913,0.118941132689871,0.1403951878806297
2023,United States,8493,1434,0.16884493111974566,0.1610278997879945,0.17696139573303624
2024,Australia,765,108,0.1411764705882353,0.11829119377102866,0.16764741723715398
2024,Canada,807,152,0.18835192069392812,0.1628757307241894,0.21678105109407822
2024,China,10103,3290,0.3256458477679897,0.3165758544393497,0.33484837989200805
2024,France,662,112,0.1691842900302115,0.14255193526553636,0.19963381451375165
2024,Germany,1331,163,0.12246431254695718,0.10593113385564522,0.1411704650953662
2024,India,5286,1471,0.27828225501324255,0.2663653549756915,0.2905211758878315
2024,Italy,1003,190,0.18943170488534397,0.16638356046266398,0.21484970665993222
2024,Japan,539,107,0.19851576994434136,0.16702654049852247,0.2342719515030792
2024,Netherlands,476,47,0.09873949579831932,0.07506794105825594,0.12883577968558932
2024,South Korea,697,186,0.266857962697274,0.23536387649421037,0.30090784957222777
2024,Spain,824,124,0.15048543689320387,0.12769729360209847,0.1765173070769448
2024,Switzerland,225,27,0.12,0.08379544170650682,0.16896233705776453
2024,UNKNOWN,54891,7386,0.13455757774498553,0.13172836905863844,0.1374379326585234
2024,United Kingdom,3195,442,0.13834115805946792,0.12680307524802514,0.1507478663194296
2024,United States,7003,1160,0.16564329573040126,0.15712005606464258,0.17453315351315973
2025,Australia,263,33,0.12547528517110265,0.09075754561313186,0.1709763660861912
2025,Canada,321,53,0.16510903426791276,0.1285005590977626,0.20963811082282896
2025,China,4592,1496,0.32578397212543553,0.31237910015916065,0.3394800829009608
2025,France,271,58,0.2140221402214022,0.16936597859111974,0.2666725264252518
2025,Germany,479,54,0.1127348643006263,0.08743826058945002,0.1441935862156254
2025,India,1586,453,0.28562421185372006,0.2639321141006894,0.30835228178844065
2025,Italy,368,63,0.17119565217391305,0.13615596739598976,0.2130290299749061
2025,Japan,200,46,0.23,0.17709343259068805,0.2930830436530359
2025,Netherlands,195,16,0.08205128205128205,0.05113473050364543,0.12911670716567017
2025,South Korea,290,82,0.2827586206896552,0.23402930728662635,0.33716802985671107
2025,Spain,291,38,0.13058419243986255,0.09663695924334567,0.17415758620505808
2025,Switzerland,74,12,0.16216216216216217,0.09527063579971957,0.2623981340627035
2025,UNKNOWN,39079,6047,0.15473783873691752,0.15118611999384068,0.1583574292275608
2025,United Kingdom,1201,168,0.1398834304746045,0.12141202003950805,0.1606511977662047
2025,United States,2865,496,0.1731239092495637,0.15970966943330825,0.18741354149172437
