pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2012,frontline,any,552351,398,0.0007205563129242095,0.0006531788441658812,0.0007948784530386447,0.0009489495027300186,0.0009473090625730125,0.0009505927809084293,250
2013,frontline,any,616976,457,0.0007407095251679158,0.0006758616077718731,0.0008117744495918486,0.001017010010729271,0.0010153860817456342,0.0010186365342494774,250
2014,frontline,any,668201,531,0.0007946710645449498,0.0007299161892491883,0.0008651657267898451,0.0010899466254693589,0.0010883443614512166,0.0010915512457680464,250
2015,frontline,any,692692,614,0.0008863968401540656,0.0008190294323700512,0.0009593000812393134,0.0011681078981241046,0.001166530986096948,0.0011696869393184844,250
2016,frontline,any,744227,661,0.0008881698729016819,0.0008230188149906498,0.0009584734115634342,0.001251867177293977,0.0012503167314661609,0.0012534195433275773,250
2017,frontline,any,767947,732,0.000953190780092897,0.0008866236978914844,0.001024750545845708,0.0013416243557404567,0.001340097348844847,0.0013431531002814406,250
2018,frontline,any,826130,846,0.001024051904663915,0.0009573629048636495,0.0010953813040239912,0.001437807737561787,0.0014362949126809116,0.0014393221535784885,250
2019,frontline,any,885697,863,0.0009743738547155518,0.0009115257830020324,0.0010415506710877095,0.0015408760337259151,0.001539359414882678,0.0015423941444751438,250
2020,frontline,any,1023857,1862,0.0018186133415115588,0.0017379330888938128,0.0019030318819992815,0.00165132049433774,0.0016497709690516788,0.0016528714725851563,250
2021,frontline,any,1172890,2340,0.0019950720016369823,0.0019159325353721292,0.0020774735967591736,0.0017696671864965037,0.0017680430461006688,0.0017712928161950922,250
2022,frontline,any,1221578,2279,0.00186561971482787,0.0017906469899425237,0.0019437253656361371,0.001896479427094689,0.0018947267637971204,0.0018982337085604155,250
2023,frontline,any,1176462,1834,0.0015589113800530744,0.0014892300532068589,0.0016318477795907354,0.0020323603804203987,0.0020304154223858297,0.0020343071977545744,250
2024,frontline,any,1227755,1594,0.0012983046291809032,0.0012361519894903425,0.0013635779827476532,0.002177955830949352,0.002175748125545231,0.002180165771591035,250
2025,frontline,any,1127750,1469,0.001302593659942363,0.001237703178554245,0.001370881559242114,0.0023339571422480525,0.0023314121440290263,0.0023365049121121554,250
2010,frontline,title,387434,24,6.194603467945509e-05,4.162983282121174e-05,9.217604072354928e-05,0.00011706608619791515,0.00011672383838444375,0.00011740933740378066,250
2011,frontline,title,509457,58,0.00011384670345092912,8.807715355856958e-05,0.0001471547800234755,0.0001269740550331924,0.00012662353513180172,0.00012732554512196104,250
2012,frontline,title,552351,66,0.00011948923782160257,9.393132703647693e-05,0.00015200018043782016,0.0001377204761335385,0.00013736126841181604,0.00013808062307466262,250
2013,frontline,title,616976,71,0.00011507740981821011,9.12435088438667e-05,0.0001451361084801915,0.00014937628233181277,0.00014900753916984795,0.00014974593787147366,250
2014,frontline,title,668201,86,0.00012870378823138547,0.0001042266174282208,0.00015892840317414142,0.00016201840376400635,0.00016163866822785562,0.00016239903126281322,250
2015,frontline,title,692692,74,0.00010682958659837273,8.510564140797063e-05,0.0001340980115270828,0.00017573027430117834,0.00017533726582429884,0.00017612416352895827,250
2016,frontline,title,744227,100,0.00013436760558270528,0.0001104879110050507,0.00016340756263741449,0.00019060238063423737,0.0001901927524933704,0.00019101289084423915,250
2017,frontline,title,767947,130,0.0001692825155902686,0.00014257839024959807,0.00020098716704505055,0.00020673285758411098,0.00020630194571705633,0.00020716466932906648,250
2018,frontline,title,826130,138,0.00016704392771113506,0.00014140360821257323,0.00019733261681185952,0.0002242281335056013,0.00022376972636542418,0.00022468747951219173,250
2019,frontline,title,885697,147,0.00016597098104656558,0.00014122364037580794,0.00019505407878061198,0.00024320362997281133,0.0002427097919896852,0.00024369847251576576,250
2020,frontline,title,1023857,364,0.00035551839758872576,0.0003208290900578296,0.00039395697186241085,0.00026378452027930334,0.00026324549102377254,0.00026432465297526443,250
2021,frontline,title,1172890,455,0.00038793066698496876,0.00035389159486126377,0.00042524239537614544,0.0002861065516590243,0.00028551071968979213,0.00028670362671265825,250
2022,frontline,title,1221578,459,0.00037574350553137007,0.00034291102186013577,0.0004117182854319776,0.00031031693653657273,0.00030965086154102306,0.00031098444384813375,250
2023,frontline,title,1176462,350,0.00029750217176585387,0.00026792816704289483,0.00033033948682109567,0.000336575318549747,0.0003358237612451121,0.00033732855723565147,250
2024,frontline,title,1227755,263,0.0002142121188673636,0.0001898425531101708,0.00024170918240096385,0.00036505481955582166,0.00036420074163613674,0.0003659108996188274,250
2025,frontline,title,1127750,234,0.000207492795389049,0.00018255817986473843,0.00023583228929148937,0.0003959431743380752,0.00039496768505091034,0.0003969210719273221,250
2010,frontline,abstract,387434,247,0.0006375279402427252,0.0005628450048796245,0.0007221132659649848,0.0007803514590069576,0.0007786931729022319,0.0007820132737937838,250
2011,frontline,abstract,509457,306,0.0006006395044135226,0.0005370224024258436,0.0006717877920088392,0.000837069799062716,0.0008354166135475233,0.0008387262532801695,250
